Category	Included_for_CRISPRi	Entrez_ID	Gene_symbol	Achilles_mean_probability	Achilles_num_essential	Achilles_num_cell_lines	Achilles_common	BlomenHart_intersect	BlomenHart_intersect_DepMap	Hart_3_or_more_lines	Hart_HeLa	Blomen_HAP1_KBM7_intersect
Vacuolation hits	Yes	92126	DSEL	0.00277328239087895	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	27165	GLS2		13	796	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	1592	CYP26A1	0.172292757811951	25	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	7805	LAPTM5	0.00809142848100079	1	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	2904	GRIN2B	0.00431315388608479	0	808	Non-essential	N/A	N/A	Non-essential	Non-essential	N/A
Vacuolation hits	Yes	337975	KRTAP20-1	0.0126395394488321	0	808	Non-essential	N/A	N/A	N/A	N/A	Non-essential
Vacuolation hits	Yes	440730	TRIM67	0.0151412592770544	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	23127	COLGALT2	0.00929440709947615	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	158055	C9orf163				N/A	Non-essential	N/A	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	79991	STN1	0.536966829251608	447	808	Essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential
Vacuolation hits	Yes	1774	DNASE1L1		0	805	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	170384	FUT11	0.0859982261456139	4	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	788	SLC25A20	0.121743710410946	17	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	9153	SLC28A2	0.0323251815460502	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	57192	MCOLN1	0.0196858736864366	1	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	84689	MS4A14	0.00531525296721212	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	54851	ANKRD49	0.616269082014176	538	808	Essential	Non-essential	Non-essential	Essential	Essential	Non-essential
Vacuolation hits	Yes	10307	APBB3	0.0316159079123961	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	54512	EXOSC4	0.958416679359581	804	808	Essential	Non-essential	Non-essential	Essential	Essential	Non-essential
Vacuolation hits	Yes	79750	ZNF385D	0.00166786535632386	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	286827	TRIM59	0.00238474762815945	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	5916	RARG	0.0415935277860316	11	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	79007	DBNDD1	0.113897827297983	18	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	94056	SYAP1		0	805	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	83882	TSPAN10				N/A	N/A	N/A	Non-essential	Non-essential	N/A
Vacuolation hits	Yes	9167	COX7A2L	0.033537104101639	1	808	Non-essential	N/A	N/A	Non-essential	Non-essential	N/A
Vacuolation hits	Yes	2775	GNAO1	0.0334209766200974	1	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	59286	UBL5	0.989557089798166	807	808	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	6241	RRM2	0.998138422509477	808	808	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	23648	SSBP3	0.667212512872615	655	808	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	112401	BIRC8	0.104811117313325	3	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	3053	SERPIND1	0.0563340280073217	2	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	54431	DNAJC10	0.0347823752026547	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	6678	SPARC	0.02807144572137	1	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	7919	DDX39B	0.464354664717392	379	808	Non-essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	51184	GPN3	0.974700723248335	805	808	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	23148	NACAD	0.0125014007378317	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
