129. 	 ΔG = -6.6 	 ΔH = -42.0 	 ΔS = -114.3 	 Tm = 33.0°C 	 Image: PNG PDF 	 Thermodynamic details
130. 	 ΔG = -3.3 	 ΔH = -19.7 	 ΔS = -52.8 	 Tm = -22.1°C 	 Image: PNG PDF 	 Thermodynamic details
131. 	 ΔG = -3.3 	 ΔH = -35.4 	 ΔS = -103.4 	 Tm = 1.1°C 	 Image: PNG PDF 	 Thermodynamic details
132. 	 ΔG = -3.8 	 ΔH = -23.0 	 ΔS = -61.8 	 Tm = -10.2°C 	 Image: PNG PDF 	 Thermodynamic details
133. 	 ΔG = -3.3 	 ΔH = -19.7 	 ΔS = -52.8 	 Tm = -22.1°C 	 Image: PNG PDF 	 Thermodynamic details
134. 	 ΔG = -3.2 	 ΔH = -42.4 	 ΔS = -126.3 	 Tm = 11.1°C 	 Image: PNG PDF 	 Thermodynamic details
135. 	 ΔG = -2.0 	 ΔH = -24.7 	 ΔS = -73.3 	 Tm = -23.5°C 	 Image: PNG PDF 	 Thermodynamic details
136. 	 ΔG = -3.0 	 ΔH = -21.5 	 ΔS = -59.6 	 Tm = -20.9°C 	 Image: PNG PDF 	 Thermodynamic details
137. 	 ΔG = -3.3 	 ΔH = -35.4 	 ΔS = -103.4 	 Tm = 1.1°C 	 Image: PNG PDF 	 Thermodynamic details
138. 	 ΔG = -2.0 	 ΔH = -24.7 	 ΔS = -73.3 	 Tm = -23.5°C 	 Image: PNG PDF 	 Thermodynamic details
139. 	 ΔG = -3.9 	 ΔH = -43.0 	 ΔS = -126.2 	 Tm = 15.4°C 	 Image: PNG PDF 	 Thermodynamic details
140. 	 ΔG = -2.5 	 ΔH = -27.6 	 ΔS = -81.1 	 Tm = -14.5°C 	 Image: PNG PDF 	 Thermodynamic details
141. 	 ΔG = -3.8 	 ΔH = -23.0 	 ΔS = -61.8 	 Tm = -10.2°C 	 Image: PNG PDF 	 Thermodynamic details
142. 	 ΔG = -3.0 	 ΔH = -21.5 	 ΔS = -59.6 	 Tm = -20.9°C 	 Image: PNG PDF 	 Thermodynamic details
143. 	 ΔG = -2.5 	 ΔH = -27.6 	 ΔS = -81.1 	 Tm = -14.5°C 	 Image: PNG PDF 	 Thermodynamic details
144. 	 ΔG = -4.0 	 ΔH = -40.3 	 ΔS = -116.9 	 Tm = 15.1°C 	 Image: PNG PDF 	 Thermodynamic details
