136. 	 ΔG = -2.6 	 ΔH = -45.9 	 ΔS = -139.5 	 Tm = 4.8°C 	 Image: PNG PDF 	 Thermodynamic details
137. 	 ΔG = -2.6 	 ΔH = -25.4 	 ΔS = -73.6 	 Tm = -17.2°C 	 Image: PNG PDF 	 Thermodynamic details
138. 	 ΔG = -4.2 	 ΔH = -33.5 	 ΔS = -94.6 	 Tm = 5.4°C 	 Image: PNG PDF 	 Thermodynamic details
139. 	 ΔG = -2.5 	 ΔH = -26.7 	 ΔS = -77.9 	 Tm = -15.3°C 	 Image: PNG PDF 	 Thermodynamic details
140. 	 ΔG = -2.2 	 ΔH = -38.3 	 ΔS = -116.4 	 Tm = -3.5°C 	 Image: PNG PDF 	 Thermodynamic details
141. 	 ΔG = -5.7 	 ΔH = -43.8 	 ΔS = -123.0 	 Tm = 27.1°C 	 Image: PNG PDF 	 Thermodynamic details
142. 	 ΔG = -3.8 	 ΔH = -22.0 	 ΔS = -58.8 	 Tm = -12.6°C 	 Image: PNG PDF 	 Thermodynamic details
143. 	 ΔG = -1.5 	 ΔH = -11.0 	 ΔS = -30.5 	 Tm = -77.3°C 	 Image: PNG PDF 	 Thermodynamic details
144. 	 ΔG = -2.5 	 ΔH = -20.0 	 ΔS = -56.3 	 Tm = -29.0°C 	 Image: PNG PDF 	 Thermodynamic details
145. 	 ΔG = -5.0 	 ΔH = -41.4 	 ΔS = -117.5 	 Tm = 16.2°C 	 Image: PNG PDF 	 Thermodynamic details
146. 	 ΔG = -2.6 	 ΔH = -21.6 	 ΔS = -61.4 	 Tm = -24.9°C 	 Image: PNG PDF 	 Thermodynamic details
147. 	 ΔG = -3.2 	 ΔH = -50.0 	 ΔS = -150.9 	 Tm = 10.0°C 	 Image: PNG PDF 	 Thermodynamic details
148. 	 ΔG = -3.8 	 ΔH = -22.0 	 ΔS = -58.8 	 Tm = -12.6°C 	 Image: PNG PDF 	 Thermodynamic details
149. 	 ΔG = -3.9 	 ΔH = -43.0 	 ΔS = -126.2 	 Tm = 15.3°C 	 Image: PNG PDF 	 Thermodynamic details
150. 	 ΔG = -2.1 	 ΔH = -19.4 	 ΔS = -55.7 	 Tm = -34.8°C 	 Image: PNG PDF 	 Thermodynamic details
151. 	 ΔG = -4.4 	 ΔH = -54.2 	 ΔS = -160.6 	 Tm = 17.9°C 	 Image: PNG PDF 	 Thermodynamic details
152. 	 ΔG = -3.9 	 ΔH = -38.9 	 ΔS = -112.9 	 Tm = 7.6°C 	 Image: PNG PDF 	 Thermodynamic details
153. 	 ΔG = -3.2 	 ΔH = -35.4 	 ΔS = -103.9 	 Tm = 0.1°C 	 Image: PNG PDF 	 Thermodynamic details
154. 	 ΔG = -2.6 	 ΔH = -45.9 	 ΔS = -139.5 	 Tm = 4.8°C 	 Image: PNG PDF 	 Thermodynamic details
155. 	 ΔG = -1.5 	 ΔH = -11.0 	 ΔS = -30.5 	 Tm = -77.3°C 	 Image: PNG PDF 	 Thermodynamic details
156. 	 ΔG = -2.1 	 ΔH = -19.4 	 ΔS = -55.7 	 Tm = -34.8°C 	 Image: PNG PDF 	 Thermodynamic details
157. 	 ΔG = -3.5 	 ΔH = -29.2 	 ΔS = -82.8 	 Tm = 3.2°C 	 Image: PNG PDF 	 Thermodynamic details
158. 	 ΔG = -3.0 	 ΔH = -33.9 	 ΔS = -99.8 	 Tm = -2.9°C 	 Image: PNG PDF 	 Thermodynamic details
159. 	 ΔG = -3.1 	 ΔH = -26.5 	 ΔS = -75.5 	 Tm = -11.2°C 	 Image: PNG PDF 	 Thermodynamic details
160. 	 ΔG = -2.6 	 ΔH = -31.9 	 ΔS = -94.4 	 Tm = -7.4°C 	 Image: PNG PDF 	 Thermodynamic details
161. 	 ΔG = -2.6 	 ΔH = -21.8 	 ΔS = -62.0 	 Tm = -16.4°C 	 Image: PNG PDF 	 Thermodynamic details
162. 	 ΔG = -4.7 	 ΔH = -34.3 	 ΔS = -95.3 	 Tm = 10.4°C 	 Image: PNG PDF 	 Thermodynamic details
163. 	 ΔG = -3.0 	 ΔH = -19.1 	 ΔS = -51.9 	 Tm = -26.7°C 	 Image: PNG PDF 	 Thermodynamic details
164. 	 ΔG = -3.5 	 ΔH = -28.0 	 ΔS = -79.0 	 Tm = -5.5°C 	 Image: PNG PDF 	 Thermodynamic details
165. 	 ΔG = -3.5 	 ΔH = -21.6 	 ΔS = -58.4 	 Tm = -16.0°C 	 Image: PNG PDF 	 Thermodynamic details
166. 	 ΔG = -4.0 	 ΔH = -29.8 	 ΔS = -83.3 	 Tm = 0.5°C 	 Image: PNG PDF 	 Thermodynamic details
167. 	 ΔG = -5.1 	 ΔH = -47.8 	 ΔS = -137.6 	 Tm = 19.6°C 	 Image: PNG PDF 	 Thermodynamic details
168. 	 ΔG = -4.7 	 ΔH = -34.3 	 ΔS = -95.3 	 Tm = 10.4°C 	 Image: PNG PDF 	 Thermodynamic details
169. 	 ΔG = -6.0 	 ΔH = -99.2 	 ΔS = -300.6 	 Tm = 33.5°C 	 Image: PNG PDF 	 Thermodynamic details
170. 	 ΔG = -6.4 	 ΔH = -55.3 	 ΔS = -157.6 	 Tm = 28.6°C 	 Image: PNG PDF 	 Thermodynamic details
171. 	 ΔG = -3.6 	 ΔH = -30.7 	 ΔS = -87.4 	 Tm = -1.6°C 	 Image: PNG PDF 	 Thermodynamic details
172. 	 ΔG = -2.4 	 ΔH = -24.3 	 ΔS = -70.7 	 Tm = -20.8°C 	 Image: PNG PDF 	 Thermodynamic details
173. 	 ΔG = -4.7 	 ΔH = -43.5 	 ΔS = -125.0 	 Tm = 15.6°C 	 Image: PNG PDF 	 Thermodynamic details
174. 	 ΔG = -5.3 	 ΔH = -46.0 	 ΔS = -131.3 	 Tm = 19.9°C 	 Image: PNG PDF 	 Thermodynamic details
175. 	 ΔG = -3.0 	 ΔH = -19.1 	 ΔS = -51.9 	 Tm = -26.7°C 	 Image: PNG PDF 	 Thermodynamic details
176. 	 ΔG = -6.4 	 ΔH = -55.3 	 ΔS = -157.6 	 Tm = 28.6°C 	 Image: PNG PDF 	 Thermodynamic details
177. 	 ΔG = -4.2 	 ΔH = -38.5 	 ΔS = -110.6 	 Tm = 15.3°C 	 Image: PNG PDF 	 Thermodynamic details
178. 	 ΔG = -4.7 	 ΔH = -35.7 	 ΔS = -99.9 	 Tm = 11.3°C 	 Image: PNG PDF 	 Thermodynamic details
179. 	 ΔG = -3.5 	 ΔH = -22.1 	 ΔS = -60.1 	 Tm = -15.4°C 	 Image: PNG PDF 	 Thermodynamic details
