Category	Included_for_CRISPRi	Entrez_ID	Gene_symbol	Achilles_mean_probability	Achilles_common	BlomenHart_intersect	BlomenHart_intersect_DepMap	Hart_3_or_more_lines	Hart_HeLa	Blomen_HAP1_KBM7_intersect
Vacuolation hits	Yes	81603	TRIM8	0.0195507767147333	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	10570	DPYSL4	0.0170858202369517	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	43	ACHE	0.176985767853696	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	441907	LOC441907		N/A	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	Yes	6720	SREBF1	0.399184603698121	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	23593	HEBP2	0.0117493136221509	Non-essential	N/A	N/A	Non-essential	Non-essential	N/A
Vacuolation hits	Yes	4340	MOG	0.686195856168198	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	121278	TPH2	0.229959577839189	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	27146	FAM184B	0.000942841934287041	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	5009	OTC		Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	9942	XYLB	0.00272512636126273	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	50846	DHH	0.0439032878063954	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	5976	UPF1		Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	79861	TUBAL3	0.00420987836537957	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	117289	TAGAP	0.00296175721070239	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	80127	BBOF1	0.0328317671084309	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	1041	CDSN	0.0799191359152523	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	79623	GALNT14	0.0220940977924115	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	27179	IL36A	0.156236884348377	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	4974	OMG	0.0211764896156319	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	8861	LDB1		Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	84286	TMEM175	0.00192079859955729	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	3543	IGLL1	0.0251737272240264	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	84131	CEP78	0.135881896680221	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	1123	CHN1	0.00136779153374629	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	57819	LSM2	0.999255957461301	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential
Vacuolation hits	Yes	8356	H3C12	0.118235967087051	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	158866	ZDHHC15		Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	25929	GEMIN5	0.988563274363296	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	30010	NXPH1	0.0117782430788595	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	9953	HS3ST3B1	0.0381324656396837	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	10166	SLC25A15	0.0173717969724998	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
